lat,lon,dep,log_dep,log_dep_norm,lon_band,PINN_log_dep,Kriging_log_dep
-80.57591623036649,20.0,0.0023411149159073,-2.630577268012233,-1.771157421250451,10,-2.5015454,-1.7360392131204716
-80.57591623036649,21.25,0.0023727181833237,-2.624753841511092,-1.7658985701787255,10,-2.50928,-1.7279506279861885
-80.57591623036649,22.5,0.0023710718378424,-2.625055287731662,-1.7661707914868858,10,-2.5168176,-1.7264928494891516
-80.57591623036649,23.75,0.002351801842451,-2.6285992737334385,-1.7693711915571824,10,-2.5244594,-1.7334128255935246
-80.57591623036649,25.0,0.0023265525233,-2.6332871385651,-1.7736045725381655,10,-2.5322022,-1.7391910769172623
-80.57591623036649,26.25,0.0022665043361485,-2.644643445736745,-1.7838598969813846,10,-2.540053,-1.736683222602732
-80.57591623036649,27.5,0.0021990935783833,-2.657756289642939,-1.79570146366312,10,-2.5480103,-1.732009231518067
-80.57591623036649,28.75,0.0021106917411088,-2.6755751891987,-1.811792838561972,10,-2.5563498,-1.736735003736444
-80.57591623036649,30.0,0.0020212728995829,-2.6943750468103707,-1.8287700686051496,10,-2.5660696,-1.7503986431004626
-80.57591623036649,31.25,0.0019669143948704,-2.706214541272546,-1.8394617358098253,10,-2.5753725,-1.7727638407722166
-80.57591623036649,32.5,0.001918549882248,-2.7170269046734097,-1.849225851291899,10,-2.5847583,-1.802214131490351
-80.57591623036649,33.75,0.0018697391496971,-2.728218978356078,-1.8593328645201748,10,-2.5942316,-1.8350989578406844
-80.57591623036649,35.0,0.0018013443332165,-2.7444032623485763,-1.87394809821504,10,-2.6037912,-1.8706608566039558
-80.57591623036649,36.25,0.0017603600863367,-2.754398487007652,-1.8829742957467177,10,-2.6135342,-1.9093011180781054
-80.57591623036649,37.5,0.001724197063595,-2.763413098870397,-1.891114949921076,10,-2.622797,-1.948796087989746
-80.57591623036649,38.75,0.001665796386078,-2.778378084446002,-1.9046290949724811,10,-2.6318054,-1.9858120961614207
-80.57591623036649,100.0,0.0012285487027838,-2.910607622308816,-2.0240391101529385,14,-2.7902405,-2.1921441916379987
-80.57591623036649,101.25,0.0011909492313861,-2.924106751530469,-2.0362295121715324,14,-2.7896035,-2.1869526299244297
-80.57591623036649,102.5,0.0011726847151294,-2.9308187354417665,-2.042290775892884,14,-2.789075,-2.182514210166501
-80.57591623036649,103.75,0.001172776101157,-2.930784892670001,-2.04226021414431,14,-2.788655,-2.175467622612568
-80.57591623036649,105.0,0.0011755129089578,-2.929772597284768,-2.041346059793689,14,-2.7883441,-2.1675858798555887
-80.57591623036649,106.25,0.0011673982953652,-2.9327809451821,-2.044062751343056,14,-2.788327,-2.1587586675379877
-80.57591623036649,107.5,0.0011738184839487,-2.930399055996646,-2.0419117839541485,14,-2.7886064,-2.150344934860689
-80.57591623036649,108.75,0.001184698427096,-2.9263921881488217,-2.038293377974153,14,-2.7864716,-2.1449469398360073
-80.57591623036649,110.0,0.001194549491629,-2.922795852196137,-2.03504570322882,14,-2.7844315,-2.1423224958148808
-80.57591623036649,111.25,0.0012321734102442,-2.9093281673237965,-2.022883697061028,14,-2.7824864,-2.1418076445529426
-80.57591623036649,112.5,0.0012551957042887,-2.901288555723598,-2.015623517839797,14,-2.7807848,-2.1430208701318327
-80.57591623036649,113.75,0.0012988352682441,-2.8864459271634804,-2.0022198674124594,14,-2.779108,-2.144878034578981
-80.57591623036649,115.0,0.0013534240424633,-2.868566112900281,-1.9860734834267009,14,-2.7767472,-2.146770869446974
-80.57591623036649,116.25,0.0013875871663913,-2.857739725543159,-1.9762967035970327,14,-2.7744951,-2.1478824192592754
-80.57591623036649,117.5,0.0014094883808866,-2.8509384998829264,-1.970154850025884,14,-2.7723534,-2.1475049334719793
-80.57591623036649,118.75,0.0014275409048423,-2.8454114386038074,-1.9651636318615455,14,-2.7703185,-2.14446730406231
-80.57591623036649,-140.0,0.0013884991640225,-2.857454377390513,-1.9760390196650623,2,-2.6444397,-1.7301691323137112
-80.57591623036649,-138.75,0.001389347249642,-2.857189194323252,-1.975799545833428,2,-2.6514497,-1.7151024515815783
-80.57591623036649,-137.5,0.0013642346020787,-2.8651109393369736,-1.982953285516959,2,-2.6584,-1.7039820611336673
-80.57591623036649,-136.25,0.0013432463165372,-2.8718443416840667,-1.9890338911779772,2,-2.6648135,-1.6956896548657328
-80.57591623036649,-135.0,0.0013707850594073,-2.863030637720653,-1.981074667081171,2,-2.6659327,-1.689718649070952
-80.57591623036649,-133.75,0.0013854010030627,-2.858424502259705,-1.9769150918893883,2,-2.6666927,-1.6860154137228422
-80.57591623036649,-132.5,0.0014225454069674,-2.8469338622399896,-1.9665384580346223,2,-2.6675093,-1.684177565867936
-80.57591623036649,-131.25,0.0014749591937288,-2.831219994725497,-1.9523480344063109,2,-2.6683855,-1.6845059214682183
-80.57591623036649,-130.0,0.0015641528880223,-2.8057207991154924,-1.929320960546012,2,-2.6693137,-1.687337681900098
-80.57591623036649,-128.75,0.0016586148412898,-2.7802544528681827,-1.9063235513352428,2,-2.670299,-1.6917978396165163
-80.57591623036649,-127.5,0.0017362813232466,-2.7603799063282106,-1.8883758223905576,2,-2.6713412,-1.6976268300058388
-80.57591623036649,-126.25,0.0017992852954193,-2.744899969282107,-1.874396649903504,2,-2.6724575,-1.7054143746225974
-80.57591623036649,-125.0,0.001890683430247,-2.7233811818932963,-1.8549640876311555,2,-2.6735218,-1.7165657353590749
-80.57591623036649,-123.75,0.0019587883725762,-2.708012482630625,-1.841085368534644,2,-2.6739175,-1.732040575282599
-80.57591623036649,-122.5,0.0020366229582577,-2.691089364865558,-1.8258029302694223,2,-2.6721876,-1.7530677760733013
-80.57591623036649,-121.25,0.0021552387624979,-2.666504610658043,-1.803601643623674,2,-2.6713152,-1.77717798903768
-80.57591623036649,-60.0,0.0064343442209064,-2.191495709172093,-1.3746443844964689,6,-2.443143,-1.2967396290136537
-80.57591623036649,-58.75,0.0065290322527289,-2.18515118602142,-1.3689149565790797,6,-2.4386377,-1.2752351969517524
-80.57591623036649,-57.5,0.0067891138605773,-2.168186907689464,-1.3535953482231464,6,-2.4340062,-1.2569492446669426
-80.57591623036649,-56.25,0.0072979708202183,-2.136797877425673,-1.32524945334308,6,-2.428635,-1.241514073048333
-80.57591623036649,-55.0,0.0074977176263928,-2.125070919690496,-1.3146594125412217,6,-2.4216497,-1.2282783628304417
-80.57591623036649,-53.75,0.0075479801744222,-2.1221692492265443,-1.3120390561537656,6,-2.4147885,-1.2174767572245058
-80.57591623036649,-52.5,0.0072827762924134,-2.1377030302163385,-1.3260668524675183,6,-2.408055,-1.2098100299310974
-80.57591623036649,-51.25,0.0074301925487816,-2.128999931624373,-1.3182075106609867,6,-2.4025598,-1.2056269262647337
-80.57591623036649,-50.0,0.0074873990379273,-2.125669020705021,-1.315199528254989,6,-2.3976698,-1.2050144702432317
-80.57591623036649,-48.75,0.0077573526650667,-2.110286464194478,-1.3013082953570572,6,-2.3946395,-1.207777700468303
-80.57591623036649,-47.5,0.0074447225779294,-2.1281514812723428,-1.3174413167299384,6,-2.392382,-1.213049595349404
-80.57591623036649,-46.25,0.0066601848229765,-2.1765137188049057,-1.3611148832511768,6,-2.3902507,-1.2201981215846152
-80.57591623036649,-45.0,0.0062326705083251,-2.2053258315868383,-1.3871336902460334,6,-2.3881364,-1.230070297383857
-80.57591623036649,-43.75,0.0060800164937973,-2.2160952425767,-1.396859017510794,6,-2.3846824,-1.242801975870647
-80.57591623036649,-42.5,0.0057941847480833,-2.237007661394256,-1.415743998044079,6,-2.3842714,-1.2586226991561045
-80.57591623036649,-41.25,0.0055337427183985,-2.25698103648116,-1.4337809742059906,6,-2.3831942,-1.2741680812140979
-79.63350785340315,20.0,0.0021591398399323,-2.6657192290209224,-1.8028924039581136,10,-2.4568515,-1.7088338453073844
-79.63350785340315,21.25,0.002108450513333,-2.6760365876956347,-1.812209504931784,10,-2.4648323,-1.6989487049645593
-79.63350785340315,22.5,0.002088262932375,-2.6802148203773943,-1.815982662094853,10,-2.472937,-1.6953221674223882
-79.63350785340315,23.75,0.0020422080997377,-2.689900005656072,-1.8247288782568745,10,-2.4811645,-1.7017028491099342
-79.63350785340315,25.0,0.0020024504046887,-2.6984382314168824,-1.832439331489876,10,-2.4894605,-1.7099528994446203
-79.63350785340315,26.25,0.0019283777801319,-2.7148078813487797,-1.8472219600799764,10,-2.4976573,-1.711753653722071
-79.63350785340315,27.5,0.0018810080364346,-2.725609348962238,-1.8569762361104387,10,-2.505999,-1.7070478069084385
-79.63350785340315,28.75,0.001795858494006,-2.7457278868744224,-1.8751443017055476,10,-2.515654,-1.711286462043332
