lat,lon,dep,log_dep,log_dep_norm,PINN_log_dep,Kriging_log_dep
-69.26701570680629,0.0,0.0495480522513389,-1.304973413088325,-0.5740695466489345,-2.1497602,-0.5280007758794143
-69.26701570680629,1.25,0.0482150986790657,-1.3168169400561331,-0.5847648554118176,-2.1557927,-0.5280007758765561
-69.26701570680629,2.5,0.0456813611090183,-1.340260964452896,-0.6059360048717275,-2.1583083,-0.5280007758737939
-69.26701570680629,3.75,0.0435733199119567,-1.360779349301916,-0.6244651526393155,-2.1607976,-0.5280007758711014
-69.26701570680629,5.0,0.0410390608012676,-1.3868025868215377,-0.6479654630653157,-2.1629856,-0.5280007758684953
-69.26701570680629,6.25,0.0385281592607498,-1.4142217395464456,-0.6727263561005268,-2.1652505,-0.5280007758659858
-69.26701570680629,7.5,0.0357914194464683,-1.4462210776495488,-0.7016233900795792,-2.1672754,-0.5280007758635209
-69.26701570680629,8.75,0.0344630926847457,-1.4626457519706455,-0.716455708498865,-2.1684873,-0.5280007758611305
-69.26701570680629,10.0,0.0321274138987064,-1.4931242316449795,-0.7439793297669459,-2.1697881,-0.5280007758588529
-69.26701570680629,11.25,0.0295362882316112,-1.5296440825451794,-0.7769586173063548,-2.1711736,-0.5280007758566633
-69.26701570680629,12.5,0.0271579511463642,-1.5661029972557416,-0.8098828763593359,-2.1758132,-0.5280007758545132
-69.26701570680629,13.75,0.0242357943207025,-1.6155427418399309,-0.8545294866911428,-2.1808004,-0.5280007758524409
-69.26701570680629,15.0,0.0224353298544883,-1.649067540887714,-0.8848040896877201,-2.1857476,-0.5280007758504698
-69.26701570680629,16.25,0.0211183056235313,-1.6753409293138757,-0.9085302991377212,-2.190351,-0.5280007758485619
-69.26701570680629,17.5,0.0200758036226034,-1.6973270611488185,-0.9283848972751954,-2.1961079,-0.5280007758466859
-69.26701570680629,18.75,0.0190458428114652,-1.7201998042962965,-0.9490401506369114,-2.2016287,-0.5280007758448533
-69.26701570680629,20.0,0.0182820595800876,-1.737974880052848,-0.9650919504104664,-2.2070856,-0.5280007758430798
-69.26701570680629,21.25,0.0171275716274976,-1.7663042075854325,-0.9906747777075536,-2.2096944,-0.5280007758413751
-69.26701570680629,22.5,0.0163556970655918,-1.7863309418912543,-1.0087599399649778,-2.210168,-0.5280007758397413
-69.26701570680629,23.75,0.0156455170363187,-1.8056100801809476,-1.0261699848993162,-2.2107208,-0.5280007758381547
-69.26701570680629,25.0,0.0148719763383269,-1.827631314208604,-1.0460562821066997,-2.2116413,-0.5280007758366425
-69.26701570680629,26.25,0.014166067354381,-1.8487506976239985,-1.0651281622251232,-2.2129984,-0.528000775835118
-69.26701570680629,27.5,0.0135466642677783,-1.868167632350101,-1.0826626443678904,-2.2144258,-0.5280007758336493
-69.26701570680629,28.75,0.0125289931893348,-1.902083826841778,-1.1132906974078718,-2.2159128,-0.5280007758322421
-69.26701570680629,30.0,0.0113184871152043,-1.946211619210291,-1.1531403440282133,-2.2171774,-0.5280007758308405
-69.26701570680629,-90.0,0.0054577379487454,-2.2629873206532927,-1.4392049550786803,-2.2449908,-0.5280007761829066
-69.26701570680629,-88.75,0.0054497546516358,-2.2636230492534795,-1.4397790504209609,-2.2441149,-0.5280007761782723
-69.26701570680629,-87.5,0.005412770435214,-2.2665803916848386,-1.442449681433744,-2.244055,-0.528000776173598
-69.26701570680629,-86.25,0.0054838727228343,-2.260912633461695,-1.4373314067547012,-2.2440646,-0.5280007761689341
-69.26701570680629,-85.0,0.0056416955776512,-2.248590351805806,-1.426203758096395,-2.2441459,-0.528000776164265
-69.26701570680629,-83.75,0.0056874044239521,-2.2450858885324525,-1.42303904906516,-2.2442746,-0.5280007761595591
-69.26701570680629,-82.5,0.005841301754117,-2.2334903580878334,-1.4125676938082583,-2.2426257,-0.5280007761548245
-69.26701570680629,-81.25,0.0059900856576859,-2.222566967194265,-1.4027033148388917,-2.240923,-0.5280007761500438
-69.26701570680629,-80.0,0.0062220566906034,-2.2060660362514053,-1.3878021328017676,-2.237728,-0.5280007761452078
-69.26701570680629,-78.75,0.0065370523370802,-2.1846180379629243,-1.3684334966966103,-2.233725,-0.5280007761403082
-69.26701570680629,-77.5,0.0069874837063252,-2.155679191808385,-1.3423002430040536,-2.2297878,-0.5280007761354171
-69.26701570680629,-76.25,0.0073716361075639,-2.132436111377212,-1.3213105561913654,-2.2259178,-0.5280007761304847
-69.26701570680629,-75.0,0.0079456977546215,-2.099867959038596,-1.2918998539533495,-2.2211874,-0.5280007761255242
-69.26701570680629,-73.75,0.0088740000501275,-2.051880573166218,-1.2485647975952467,-2.216403,-0.5280007761205496
-69.26701570680629,-72.5,0.0101654548197984,-1.9928731855148896,-1.1952781177120084,-2.2116792,-0.5280007761155942
-69.26701570680629,-71.25,0.0111353639513254,-1.9532955837966055,-1.1595375252666993,-2.2070136,-0.5280007761106114
-69.26701570680629,-70.0,0.0125064477324485,-1.9028660275783376,-1.113997064558029,-2.2029324,-0.5280007761056491
-69.26701570680629,-68.75,0.0133791686967015,-1.873570870249156,-1.087542043706177,-2.1992006,-0.5280007761007122
-69.26701570680629,-67.5,0.0125633338466286,-1.9008950995262528,-1.1122172160277923,-2.1956267,-0.5280007760957434
-69.26701570680629,-66.25,0.0171758402138948,-1.765082008775961,-0.9895710698617024,-2.1922774,-0.5280007760907883
-69.26701570680629,-65.0,0.02560331299901,-1.5917038345281855,-0.8330017378236066,-2.1894693,-0.5280007760858509
-69.26701570680629,-63.75,0.0229154136031866,-1.6398722997126447,-0.8765003180338997,-2.1857734,-0.5280007760809239
