lon,lat,PINN_log_dep
-180.0,-90.0,2.2621195
-176.9747899159664,-90.0,2.2743967
-173.94957983193277,-90.0,2.2864337
-170.92436974789916,-90.0,2.2979548
-167.89915966386553,-90.0,2.3090138
-164.87394957983193,-90.0,2.322205
-161.84873949579833,-90.0,2.336093
-158.8235294117647,-90.0,2.3496222
-155.7983193277311,-90.0,2.3630273
-152.7731092436975,-90.0,2.3774786
-149.74789915966386,-90.0,2.38431
-146.72268907563026,-90.0,2.3896632
-143.69747899159665,-90.0,2.3948414
-140.67226890756302,-90.0,2.4018326
-137.64705882352942,-90.0,2.4110124
-134.62184873949582,-90.0,2.4202476
-131.5966386554622,-90.0,2.426123
-128.57142857142856,-90.0,2.4317415
-125.54621848739497,-90.0,2.4367573
-122.52100840336136,-90.0,2.4402888
-119.49579831932772,-90.0,2.4429457
-116.47058823529412,-90.0,2.445349
-113.44537815126051,-90.0,2.447503
-110.4201680672269,-90.0,2.4500053
-107.39495798319328,-90.0,2.4500127
-104.36974789915966,-90.0,2.451621
-101.34453781512605,-90.0,2.4543629
-98.31932773109244,-90.0,2.457503
-95.29411764705884,-90.0,2.4626577
-92.2689075630252,-90.0,2.4722354
-89.2436974789916,-90.0,2.48237
-86.21848739495799,-90.0,2.4927545
-83.19327731092437,-90.0,2.5019133
-80.16806722689076,-90.0,2.511673
-77.14285714285714,-90.0,2.521624
-74.11764705882354,-90.0,2.5312972
-71.09243697478992,-90.0,2.5438876
-68.0672268907563,-90.0,2.5588715
-65.0420168067227,-90.0,2.573174
-62.01680672268908,-90.0,2.5872061
-58.991596638655466,-90.0,2.6010005
-55.96638655462185,-90.0,2.6145945
-52.94117647058823,-90.0,2.6280344
-49.91596638655463,-90.0,2.640649
-46.89075630252103,-90.0,2.6548123
-43.8655462184874,-90.0,2.6694937
-40.84033613445379,-90.0,2.682151
-37.81512605042016,-90.0,2.6867864
-34.78991596638656,-90.0,2.6904678
-31.76470588235296,-90.0,2.6946394
-28.739495798319325,-90.0,2.7084832
-25.71428571428572,-90.0,2.7261875
-22.68907563025209,-90.0,2.7448862
-19.66386554621849,-90.0,2.7612534
-16.638655462184886,-90.0,2.770416
-13.613445378151257,-90.0,2.7686806
-10.588235294117652,-90.0,2.7686732
-7.563025210084049,-90.0,2.765665
-4.537815126050418,-90.0,2.7536972
-1.5126050420168156,-90.0,2.7437954
1.5126050420167871,-90.0,2.732946
4.537815126050418,-90.0,2.7214496
7.563025210084021,-90.0,2.7116733
10.588235294117652,-90.0,2.6999347
13.613445378151257,-90.0,2.6888826
16.638655462184857,-90.0,2.6407998
19.66386554621849,-90.0,2.5911503
22.68907563025209,-90.0,2.5436394
25.71428571428572,-90.0,2.5095067
28.739495798319325,-90.0,2.4860988
31.764705882352928,-90.0,2.4645267
34.78991596638656,-90.0,2.4441032
37.81512605042016,-90.0,2.4170003
40.84033613445376,-90.0,2.3902328
43.8655462184874,-90.0,2.3655128
46.890756302521,-90.0,2.3414717
49.9159663865546,-90.0,2.3222816
52.94117647058823,-90.0,2.3037112
55.96638655462184,-90.0,2.2857125
58.991596638655466,-90.0,2.268294
62.01680672268907,-90.0,2.2550216
65.04201680672267,-90.0,2.2414682
68.0672268907563,-90.0,2.2307928
71.0924369747899,-90.0,2.2225869
74.11764705882354,-90.0,2.215372
77.14285714285711,-90.0,2.2079186
80.16806722689074,-90.0,2.195702
83.19327731092437,-90.0,2.1826138
86.21848739495795,-90.0,2.1793659
89.24369747899158,-90.0,2.1726613
92.2689075630252,-90.0,2.1593506
95.29411764705884,-90.0,2.1465697
98.3193277310924,-90.0,2.1390994
101.34453781512605,-90.0,2.1308475
104.36974789915968,-90.0,2.1280196
107.39495798319324,-90.0,2.1249545
110.42016806722688,-90.0,2.1210475
113.44537815126051,-90.0,2.1178179
116.47058823529407,-90.0,2.1145864
119.49579831932772,-90.0,2.1072361
122.52100840336136,-90.0,2.0992224
125.54621848739492,-90.0,2.0915859
128.57142857142856,-90.0,2.0876403
131.5966386554622,-90.0,2.0832548
134.62184873949582,-90.0,2.079833
137.6470588235294,-90.0,2.077408
140.67226890756302,-90.0,2.0746486
143.69747899159665,-90.0,2.0715675
146.72268907563023,-90.0,2.0681744
149.74789915966386,-90.0,2.0644782
152.7731092436975,-90.0,2.0604882
155.79831932773106,-90.0,2.0562563
158.8235294117647,-90.0,2.0519333
161.84873949579833,-90.0,2.0473254
164.8739495798319,-90.0,2.042438
167.89915966386553,-90.0,2.0372744
170.92436974789916,-90.0,2.0337746
173.94957983193274,-90.0,2.0305984
176.97478991596637,-90.0,2.0271947
180.0,-90.0,2.0236094
-180.0,-86.94915254237289,2.247417
-176.9747899159664,-86.94915254237289,2.2599177
-173.94957983193277,-86.94915254237289,2.2721953
-170.92436974789916,-86.94915254237289,2.2842484
-167.89915966386553,-86.94915254237289,2.2960734
-164.87394957983193,-86.94915254237289,2.3076646
-161.84873949579833,-86.94915254237289,2.3190138
-158.8235294117647,-86.94915254237289,2.3329637
-155.7983193277311,-86.94915254237289,2.3466556
-152.7731092436975,-86.94915254237289,2.360269
-149.74789915966386,-86.94915254237289,2.3738992
-146.72268907563026,-86.94915254237289,2.3830903
-143.69747899159665,-86.94915254237289,2.3885064
-140.67226890756302,-86.94915254237289,2.393739
-137.64705882352942,-86.94915254237289,2.4006665
-134.62184873949582,-86.94915254237289,2.410249
-131.5966386554622,-86.94915254237289,2.4192955
-128.57142857142856,-86.94915254237289,2.4250813
-125.54621848739497,-86.94915254237289,2.4306095
-122.52100840336136,-86.94915254237289,2.435884
-119.49579831932772,-86.94915254237289,2.4404263
-116.47058823529412,-86.94915254237289,2.4434905
-113.44537815126051,-86.94915254237289,2.445734
-110.4201680672269,-86.94915254237289,2.4477282
-107.39495798319328,-86.94915254237289,2.4498813
-104.36974789915966,-86.94915254237289,2.4507542
-101.34453781512605,-86.94915254237289,2.451754
-98.31932773109244,-86.94915254237289,2.4549236
-95.29411764705884,-86.94915254237289,2.4586992
-92.2689075630252,-86.94915254237289,2.4672878
-89.2436974789916,-86.94915254237289,2.4771304
-86.21848739495799,-86.94915254237289,2.4877865
-83.19327731092437,-86.94915254237289,2.4984176
-80.16806722689076,-86.94915254237289,2.50779
-77.14285714285714,-86.94915254237289,2.5172315
-74.11764705882354,-86.94915254237289,2.5268815
-71.09243697478992,-86.94915254237289,2.5362792
-68.0672268907563,-86.94915254237289,2.5512958
-65.0420168067227,-86.94915254237289,2.5658731
-62.01680672268908,-86.94915254237289,2.5799806
-58.991596638655466,-86.94915254237289,2.593829
-55.96638655462185,-86.94915254237289,2.6074548
-52.94117647058823,-86.94915254237289,2.6209023
-49.91596638655463,-86.94915254237289,2.6339512
-46.89075630252103,-86.94915254237289,2.6471944
-43.8655462184874,-86.94915254237289,2.6617682
-40.84033613445379,-86.94915254237289,2.6759806
-37.81512605042016,-86.94915254237289,2.682205
-34.78991596638656,-86.94915254237289,2.6852045
-31.76470588235296,-86.94915254237289,2.6892357
-28.739495798319325,-86.94915254237289,2.6979077
-25.71428571428572,-86.94915254237289,2.7153504
-22.68907563025209,-86.94915254237289,2.7339694
-19.66386554621849,-86.94915254237289,2.751278
-16.638655462184886,-86.94915254237289,2.7592797
-13.613445378151257,-86.94915254237289,2.7571845
-10.588235294117652,-86.94915254237289,2.757099
-7.563025210084049,-86.94915254237289,2.752757
-4.537815126050418,-86.94915254237289,2.7397964
-1.5126050420168156,-86.94915254237289,2.7295237
1.5126050420167871,-86.94915254237289,2.7182639
4.537815126050418,-86.94915254237289,2.707202
7.563025210084021,-86.94915254237289,2.6964264
10.588235294117652,-86.94915254237289,2.6849396
