lon,lat,dep,log_dep,log_dep_norm,PINN_log_dep
1.37,78.87,3.999994704,0.6020594163216877,0.1851955746452021,0.6512528
-61.0,77.0,0.03999994704,-1.3979405836783123,-1.6691374558199883,0.559898
-42.32,75.1,0.007999989408,-2.0969105880143317,-2.317199038992328,0.5751262
-6.72,74.58,3.1000014144000003,0.4913618919845872,0.0825605367606972,0.63638186
-37.63,72.58,0.008999995968,-2.0457576851246464,-2.269771780276067,0.5751042
-27.0,71.0,0.0600000782399999,-1.2218481832967212,-1.5058704785992458,0.58366615
-44.0,65.0,0.020000005056,-1.6989698945463876,-1.948241752960412,0.5580885
-162.1,63.45,36.99992736,1.568200871440451,1.0809695808094149,0.2121431
-20.0,60.0,0.20000005056,-0.6989698945463877,-1.0210752377278165,0.58225095
-21.15,54.58,1.0200003839999998,0.0086003352609857,-0.3650398134749872,0.5685965
-21.15,54.58,1.8299993904,0.2624509450605057,-0.1296780281974969,0.5685965
-144.98,50.0,0.30000007584,-0.5228786354907063,-0.8578093187062401,0.18048371
21.36,48.8,21.129340752,1.3248859470175265,0.8553761302281296,0.6359681
21.37,48.15,56.2570704,1.7501771124320704,1.2496918580247416,0.6349258
-19.5,47.83,2.7999994464,0.4471579454759875,0.0415761177167907,0.5590619
21.56,47.79,35.90436672,1.5551472710594294,1.0688667196329042,0.6345529
-20.87,47.72,3.1000014144000003,0.4913618919845872,0.0825605367606972,0.5563003
21.57,47.53,47.29422383999999,1.6748081025222443,1.1798122357501175,0.6341404
19.81,47.51,21.94911907200001,1.3414170945167865,0.8707032566478143,0.632077
162.12,46.82,0.8599993344,-0.0655018848802916,-0.433744910694374,0.8861234
161.7,46.6,4.900000608,0.6901961339164787,0.2669129879616039,0.88502383
175.03,46.12,4.089998448,0.6117231432090132,0.1941554586274833,0.89079547
7.88,45.93,0.3999994703999999,-0.3979405836783123,-0.7419709405873933,0.59323937
6.87,45.83,0.20000005056,-0.6989698945463877,-1.0210752377278165,0.5911812
19.48,45.67,35.880084,1.5548534511137986,1.068594299617808,0.6286478
177.52,45.37,2.29999932,0.3617277076174662,-0.0376319382139861,0.88940537
-143.37,44.54,0.6000007823999999,-0.2218481832967213,-0.5787039633666506,0.14958793
85.63,44.33,28.750015152,1.4586380779101102,0.9793866273327404,0.8404427
-163.21,44.29,2.199998664,0.3424224170869316,-0.0555311571607346,0.07553646
-163.33,44.22,1.8999998496,0.2787535665749907,-0.1145627834187559,0.074589804
176.5,44.05,2.199998664,0.3424224170869316,-0.0555311571607346,0.88239
-148.06,43.37,2.7999994464,0.4471579454759875,0.0415761177167907,0.122192934
166.9,43.28,7.999989407999999,0.9030894119856688,0.4643005067054587,0.874204
-178.52,43.24,1.2999990672,0.1139430406837306,-0.267369584383007,0.020772038
150.23,43.0,1.7999991936000002,0.2552723105393346,-0.1363338177506195,0.8648324
-157.5,43.0,1.0000002528,1.0978963116709104e-07,-0.3730136545554776,0.083108775
155.9,42.2,5.600005200000001,0.7481884302794607,0.3206815032908058,0.8635964
119.02,42.17,31.279990751999996,1.4952666159876835,1.0133473813401883,0.85531634
9.08,42.15,12.25000152,1.0881361425885163,0.6358696390736859,0.5912487
160.36,42.05,2.199998664,0.3424224170869316,-0.0555311571607346,0.8643773
2.4,41.79,5.100001920000001,0.7075703395970048,0.2830217696973516,0.5784859
146.5,41.5,21.699984672,1.336459427080411,0.8661066734071483,0.85617054
-149.55,41.48,0.5000001264,-0.30102988587435,-0.6521185866157344,0.09673597
-171.57,41.42,1.1000009088,0.0413930439642815,-0.3346355120215148,0.026383769
-132.22,41.04,0.3999994703999999,-0.3979405836783123,-0.7419709405873933,0.1599606
138.7,40.83,4.900000608,0.6901961339164787,0.2669129879616039,0.8513881
166.98,40.68,3.000000758400001,0.4771213645092936,0.0693571965263553,0.85837656
146.47,40.52,16.100011007999996,1.2068261729704846,0.7459150609357862,0.8504245
-151.39,40.11,0.30000007584,-0.5228786354907063,-0.8578093187062401,0.079343125
-162.3,40.08,2.6999987904,0.4313635695950158,0.0269321012709565,0.044024013
145.43,40.0,7.3200101759999985,0.8645116847984978,0.4285325298237357,0.8465902
115.68,39.98,5.500004543999999,0.7403630483003003,0.3134260711508237,0.84192985
103.3,39.88,116.38013904,2.065878871711737,1.54239995802887,0.8387071
103.3,39.88,89.01004463999999,1.9494390188423776,1.4344408254097898,0.8387071
157.6,39.7,6.600011759999999,0.8195447093749834,0.3868406559197661,0.8485422
-140.03,39.57,0.5000001264,-0.30102988587435,-0.6521185866157344,0.11490982
173.43,39.38,1.8999998496,0.2787535665749907,-0.1145627834187559,0.8532423
9.5,39.0,9.499999247999998,0.9777235709110096,0.5334987997535826,0.58948094
25.0,39.0,23.899999104,1.3783978846666372,0.9049906069815996,0.6320987
-178.17,39.0,0.6000007823999999,-0.2218481832967213,-0.5787039633666506,-0.00967628
179.3,38.6,2.399999976,0.3802112373686612,-0.0204946283453726,0.85034454
109.7,38.35,185.37996096,2.2680627863626643,1.7298581136118545,0.8308604
109.7,38.35,111.55008528,2.0474699066379585,1.525331782032376,0.8308604
-161.06,38.22,1.2999990672,0.1139430406837306,-0.267369584383007,0.032534227
-107.5,38.0,18.360006912,1.2638728403642918,0.7988068207489354,0.22129558
-107.5,38.0,20.229997104,1.3059958205999245,0.8378618375452183,0.22129558
156.6,37.7,10.000002528,1.0000001097896312,0.5541528606771178,0.83519197
163.0,37.7,1.6999985376,0.2304485477826718,-0.1593495793606753,0.8379289
110.72,37.57,26.559997632000005,1.4242280319757474,0.9474827849547838,0.8263398
