lon,lat,PINN_log_dep
74,-90,6.532604
75,-90,6.5280056
76,-90,6.5235896
77,-90,6.519377
78,-90,6.5153594
79,-90,6.511555
80,-90,6.5079336
81,-90,6.50453
82,-90,6.501327
83,-90,6.4983244
84,-90,6.495526
85,-90,6.4929395
86,-90,6.4905457
87,-90,6.4883757
88,-90,6.4864044
89,-90,6.4846373
90,-90,6.4830904
91,-90,6.4817457
92,-90,6.4806128
93,-90,6.4796863
94,-90,6.4789724
95,-90,6.478472
96,-90,6.478172
97,-90,6.4780855
98,-90,6.4782114
99,-90,6.4785466
100,-90,6.47909
101,-90,6.4798326
102,-90,6.480794
103,-90,6.4819636
104,-90,6.483338
105,-90,6.484912
106,-90,6.486702
107,-90,6.4887004
108,-90,6.4908876
109,-90,6.493292
110,-90,6.495898
111,-90,6.4987025
112,-90,6.5017076
113,-90,6.504913
114,-90,6.508315
115,-90,6.51192
116,-90,6.515716
117,-90,6.519718
118,-90,6.523903
119,-90,6.528289
120,-90,6.532867
121,-90,6.537638
122,-90,6.5425963
123,-90,6.5477424
124,-90,6.5530763
125,-90,6.558599
126,-90,6.564303
127,-90,6.570195
128,-90,6.576268
129,-90,6.582525
130,-90,6.5889564
131,-90,6.5955725
132,-90,6.602367
133,-90,6.6093388
134,-90,6.6164846
135,-90,6.623804
136,-90,6.631312
137,-90,6.638984
138,-90,6.646821
139,-90,6.6548386
140,-90,6.66302
141,-90,6.6713805
142,-90,6.679892
143,-90,6.688593
144,-90,6.6974506
145,-90,6.706477
146,-90,6.715676
147,-90,6.7250266
148,-90,6.734558
149,-90,6.7442493
150,-90,6.7541003
151,-90,6.7641196
152,-90,6.7743073
153,-90,6.784654
154,-90,6.795167
155,-90,6.80585
156,-90,6.816689
157,-90,6.8276906
158,-90,6.838861
159,-90,6.8501806
160,-90,6.8616853
161,-90,6.87334
162,-90,6.88517
163,-90,6.897161
164,-90,6.9093084
165,-90,6.92162
166,-90,6.9341097
167,-90,6.946754
168,-90,6.959568
169,-90,6.9725504
170,-90,6.985694
171,-90,6.998998
172,-90,7.012479
173,-90,7.026117
174,-90,7.039929
175,-90,7.053908
176,-90,7.068045
177,-90,7.0823555
178,-90,7.0968275
179,-90,7.111462
-180,-89,9.418812
-179,-89,9.401372
-178,-89,9.383934
-177,-89,9.366506
-176,-89,9.349088
-175,-89,9.331682
-174,-89,9.314282
-173,-89,9.2969
-172,-89,9.279531
-171,-89,9.262173
-170,-89,9.244831
-169,-89,9.227512
-168,-89,9.210218
-167,-89,9.192925
-166,-89,9.175672
-165,-89,9.158426
-164,-89,9.14122
-163,-89,9.124019
-162,-89,9.106847
-161,-89,9.08971
-160,-89,9.072597
-159,-89,9.055505
-158,-89,9.038442
-157,-89,9.021413
-156,-89,9.004405
-155,-89,8.987438
-154,-89,8.9705
-153,-89,8.953593
-152,-89,8.93672
-151,-89,8.919875
-150,-89,8.903073
-149,-89,8.886296
-148,-89,8.86956
-147,-89,8.852864
-146,-89,8.836189
-145,-89,8.819564
-144,-89,8.802975
-143,-89,8.786418
-142,-89,8.769905
-141,-89,8.753427
-140,-89,8.73698
-139,-89,8.720592
-138,-89,8.704227
-137,-89,8.687902
-136,-89,8.671625
-135,-89,8.655385
-134,-89,8.639189
-133,-89,8.623033
-132,-89,8.606916
-131,-89,8.590845
-130,-89,8.574807
-129,-89,8.558823
-128,-89,8.542871
-127,-89,8.526962
-126,-89,8.511098
-125,-89,8.495282
-124,-89,8.479494
-123,-89,8.463765
-122,-89,8.448071
-121,-89,8.432415
-120,-89,8.416808
-119,-89,8.401244
-118,-89,8.385719
-117,-89,8.370247
-116,-89,8.354809
-115,-89,8.339423
-114,-89,8.324071
-113,-89,8.308768
-112,-89,8.293512
-111,-89,8.278284
-110,-89,8.263108
-109,-89,8.2479725
-108,-89,8.232877
-107,-89,8.217837
-106,-89,8.202836
-105,-89,8.187873
-104,-89,8.172955
-103,-89,8.158079
-102,-89,8.143245
-101,-89,8.128455
-100,-89,8.113708
-99,-89,8.099001
-98,-89,8.084336
-97,-89,8.069716
-96,-89,8.055129
-95,-89,8.040599
-94,-89,8.0260935
-93,-89,8.01164
-92,-89,7.997228
-91,-89,7.982854
-90,-89,7.96852
-89,-89,7.9542255
-88,-89,7.939982
-87,-89,7.9257665
-86,-89,7.9116025
-85,-89,7.8974724
-84,-89,7.883377
-83,-89,7.869334
-82,-89,7.8553176
-81,-89,7.841349
-80,-89,7.827416
-79,-89,7.8135266
-78,-89,7.7996616
-77,-89,7.7858567
-76,-89,7.7720714
-75,-89,7.7583294
-74,-89,7.744623
-73,-89,7.7309504
-72,-89,7.7173223
-71,-89,7.7037287
-70,-89,7.6901755
-69,-89,7.6766524
-68,-89,7.663166
-67,-89,7.649716
-66,-89,7.6363025
-65,-89,7.6229215
-64,-89,7.6095757
-63,-89,7.5962567
-62,-89,7.582992
-61,-89,7.5697517
-60,-89,7.556529
-59,-89,7.5433674
-58,-89,7.5302186
-57,-89,7.517105
-56,-89,7.5040317
-55,-89,7.4909887
-54,-89,7.4779735
-53,-89,7.465
-52,-89,7.452039
-51,-89,7.439114
-50,-89,7.4262257
-49,-89,7.413365
-48,-89,7.400528
-47,-89,7.3877306
-46,-89,7.374963
-45,-89,7.3622165
-44,-89,7.3495016
-43,-89,7.3368244
-42,-89,7.324157
-41,-89,7.3115315
-40,-89,7.29893
-39,-89,7.286355
-38,-89,7.2738075
-37,-89,7.261296
-36,-89,7.248799
-35,-89,7.236331
-34,-89,7.223897
-33,-89,7.2114863
-32,-89,7.1990952
-31,-89,7.186737
-30,-89,7.174406
-29,-89,7.1620994
-28,-89,7.1498194
-27,-89,7.137563
-26,-89,7.125342
-25,-89,7.1131315
-24,-89,7.100954
-23,-89,7.088797
-22,-89,7.0766797
-21,-89,7.0645857
-20,-89,7.052511
-19,-89,7.0404625
-18,-89,7.028443
-17,-89,7.0164533
-16,-89,7.0044885
-15,-89,6.992555
