lon,lat,PINN_log_dep
-180.0,-90.0,10.166138
-176.9747899159664,-90.0,10.110031
-173.94957983193277,-90.0,10.053941
-170.92436974789916,-90.0,9.997939
-167.89915966386553,-90.0,9.942042
-164.87394957983193,-90.0,9.886284
-161.84873949579833,-90.0,9.8306875
-158.8235294117647,-90.0,9.775282
-155.7983193277311,-90.0,9.720087
-152.7731092436975,-90.0,9.665136
-149.74789915966386,-90.0,9.610439
-146.72268907563026,-90.0,9.556001
-143.69747899159665,-90.0,9.501866
-140.67226890756302,-90.0,9.448001
-137.64705882352942,-90.0,9.394462
-134.62184873949582,-90.0,9.341229
-131.5966386554622,-90.0,9.288311
-128.57142857142856,-90.0,9.235728
-125.54621848739497,-90.0,9.183472
-122.52100840336136,-90.0,9.131546
-119.49579831932772,-90.0,9.079954
-116.47058823529412,-90.0,9.028698
-113.44537815126051,-90.0,8.977776
-110.4201680672269,-90.0,8.927184
-107.39495798319328,-90.0,8.876933
-104.36974789915966,-90.0,8.8270035
-101.34453781512605,-90.0,8.777406
-98.31932773109244,-90.0,8.728126
-95.29411764705884,-90.0,8.679172
-92.2689075630252,-90.0,8.630528
-89.2436974789916,-90.0,8.582195
-86.21848739495799,-90.0,8.534168
-83.19327731092437,-90.0,8.486443
-80.16806722689076,-90.0,8.439012
-77.14285714285714,-90.0,8.391867
-74.11764705882354,-90.0,8.345008
-71.09243697478992,-90.0,8.29842
-68.0672268907563,-90.0,8.252106
-65.0420168067227,-90.0,8.206059
-62.01680672268908,-90.0,8.160265
-58.991596638655466,-90.0,8.11472
-55.96638655462185,-90.0,8.069432
-52.94117647058823,-90.0,8.024376
-49.91596638655463,-90.0,7.9795566
-46.89075630252103,-90.0,7.934961
-43.8655462184874,-90.0,7.890594
-40.84033613445379,-90.0,7.8464622
-37.81512605042016,-90.0,7.8025393
-34.78991596638656,-90.0,7.7588487
-31.76470588235296,-90.0,7.71536
-28.739495798319325,-90.0,7.672119
-25.71428571428572,-90.0,7.629095
-22.68907563025209,-90.0,7.586307
-19.66386554621849,-90.0,7.543768
-16.638655462184886,-90.0,7.5014815
-13.613445378151257,-90.0,7.4594636
-10.588235294117652,-90.0,7.417737
-7.563025210084049,-90.0,7.3763113
-4.537815126050418,-90.0,7.33522
-1.5126050420168156,-90.0,7.2944775
1.5126050420167871,-90.0,7.254126
4.537815126050418,-90.0,7.2141933
7.563025210084021,-90.0,7.174713
10.588235294117652,-90.0,7.135732
13.613445378151257,-90.0,7.097291
16.638655462184857,-90.0,7.0594387
19.66386554621849,-90.0,7.0222235
22.68907563025209,-90.0,6.9857078
25.71428571428572,-90.0,6.94994
28.739495798319325,-90.0,6.9149756
31.764705882352928,-90.0,6.8808813
34.78991596638656,-90.0,6.84773
37.81512605042016,-90.0,6.8155813
40.84033613445376,-90.0,6.784493
43.8655462184874,-90.0,6.754546
46.890756302521,-90.0,6.72581
49.9159663865546,-90.0,6.698341
52.94117647058823,-90.0,6.6722116
55.96638655462184,-90.0,6.6474876
58.991596638655466,-90.0,6.624231
62.01680672268907,-90.0,6.6025105
65.04201680672267,-90.0,6.582381
68.0672268907563,-90.0,6.563889
71.0924369747899,-90.0,6.547096
74.11764705882354,-90.0,6.5320573
77.14285714285711,-90.0,6.518795
80.16806722689074,-90.0,6.507351
83.19327731092437,-90.0,6.497766
86.21848739495795,-90.0,6.4900584
89.24369747899158,-90.0,6.484252
92.2689075630252,-90.0,6.4803486
95.29411764705884,-90.0,6.4783607
98.3193277310924,-90.0,6.478289
101.34453781512605,-90.0,6.480141
104.36974789915968,-90.0,6.483897
107.39495798319324,-90.0,6.4895396
110.42016806722688,-90.0,6.497046
113.44537815126051,-90.0,6.5064077
116.47058823529407,-90.0,6.5175776
119.49579831932772,-90.0,6.530536
122.52100840336136,-90.0,6.545256
125.54621848739492,-90.0,6.561692
128.57142857142856,-90.0,6.5798206
131.5966386554622,-90.0,6.5996037
134.62184873949582,-90.0,6.6210203
137.6470588235294,-90.0,6.644031
140.67226890756302,-90.0,6.668626
143.69747899159665,-90.0,6.694758
