lon,lat,PINN_log_dep
-180.0,-90.0,1.4797783
-176.9747899159664,-90.0,1.4941043
-173.94957983193277,-90.0,1.5082158
-170.92436974789916,-90.0,1.5215598
-167.89915966386553,-90.0,1.5345881
-164.87394957983193,-90.0,1.5500901
-161.84873949579833,-90.0,1.566298
-158.8235294117647,-90.0,1.582109
-155.7983193277311,-90.0,1.599288
-152.7731092436975,-90.0,1.6163665
-149.74789915966386,-90.0,1.6235002
-146.72268907563026,-90.0,1.6298116
-143.69747899159665,-90.0,1.636067
-140.67226890756302,-90.0,1.644808
-137.64705882352942,-90.0,1.6555911
-134.62184873949582,-90.0,1.6662728
-131.5966386554622,-90.0,1.6733123
-128.57142857142856,-90.0,1.680073
-125.54621848739497,-90.0,1.6865609
-122.52100840336136,-90.0,1.6923345
-119.49579831932772,-90.0,1.6957412
-116.47058823529412,-90.0,1.6988695
-113.44537815126051,-90.0,1.7017324
-110.4201680672269,-90.0,1.7050048
-107.39495798319328,-90.0,1.7074564
-104.36974789915966,-90.0,1.7105908
-101.34453781512605,-90.0,1.7148262
-98.31932773109244,-90.0,1.7190294
-95.29411764705884,-90.0,1.7275171
-92.2689075630252,-90.0,1.7389925
-89.2436974789916,-90.0,1.7501813
-86.21848739495799,-90.0,1.7622458
-83.19327731092437,-90.0,1.7739755
-80.16806722689076,-90.0,1.7862628
-77.14285714285714,-90.0,1.7982608
-74.11764705882354,-90.0,1.809986
-71.09243697478992,-90.0,1.8262322
-68.0672268907563,-90.0,1.8440735
-65.0420168067227,-90.0,1.8611444
-62.01680672268908,-90.0,1.8779367
-58.991596638655466,-90.0,1.8944917
-55.96638655462185,-90.0,1.9108522
-52.94117647058823,-90.0,1.9270437
-49.91596638655463,-90.0,1.9424286
-46.89075630252103,-90.0,1.9592165
-43.8655462184874,-90.0,1.9779345
-40.84033613445379,-90.0,1.99329
-37.81512605042016,-90.0,1.9995573
-34.78991596638656,-90.0,2.002287
-31.76470588235296,-90.0,2.0082505
-28.739495798319325,-90.0,2.0253713
-25.71428571428572,-90.0,2.0465746
-22.68907563025209,-90.0,2.0686755
-19.66386554621849,-90.0,2.088226
-16.638655462184886,-90.0,2.0970666
-13.613445378151257,-90.0,2.096064
-10.588235294117652,-90.0,2.0975077
-7.563025210084049,-90.0,2.0918107
-4.537815126050418,-90.0,2.0791922
-1.5126050420168156,-90.0,2.0690472
1.5126050420167871,-90.0,2.0600839
4.537815126050418,-90.0,2.049443
7.563025210084021,-90.0,2.0395288
10.588235294117652,-90.0,2.0281532
13.613445378151257,-90.0,2.0168293
16.638655462184857,-90.0,1.9753349
19.66386554621849,-90.0,1.9198112
22.68907563025209,-90.0,1.8668839
25.71428571428572,-90.0,1.8273926
28.739495798319325,-90.0,1.8009114
31.764705882352928,-90.0,1.7772996
34.78991596638656,-90.0,1.748923
37.81512605042016,-90.0,1.7166636
40.84033613445376,-90.0,1.6877193
43.8655462184874,-90.0,1.659706
46.890756302521,-90.0,1.6331742
49.9159663865546,-90.0,1.6129737
52.94117647058823,-90.0,1.5921888
55.96638655462184,-90.0,1.5721056
58.991596638655466,-90.0,1.5526444
62.01680672268907,-90.0,1.5379772
65.04201680672267,-90.0,1.5230287
68.0672268907563,-90.0,1.5142899
71.0924369747899,-90.0,1.5056367
74.11764705882354,-90.0,1.499907
77.14285714285711,-90.0,1.492324
80.16806722689074,-90.0,1.480421
83.19327731092437,-90.0,1.4783013
86.21848739495795,-90.0,1.4780172
89.24369747899158,-90.0,1.4734721
92.2689075630252,-90.0,1.4588751
95.29411764705884,-90.0,1.4445208
98.3193277310924,-90.0,1.4307692
101.34453781512605,-90.0,1.4244013
104.36974789915968,-90.0,1.4172322
107.39495798319324,-90.0,1.4093027
110.42016806722688,-90.0,1.4013875
113.44537815126051,-90.0,1.3949932
116.47058823529407,-90.0,1.3879514
119.49579831932772,-90.0,1.3794123
122.52100840336136,-90.0,1.3706307
125.54621848739492,-90.0,1.3617904
128.57142857142856,-90.0,1.3541957
131.5966386554622,-90.0,1.3462193
134.62184873949582,-90.0,1.3416874
137.6470588235294,-90.0,1.3388935
140.67226890756302,-90.0,1.3357507
143.69747899159665,-90.0,1.3322709
146.72268907563023,-90.0,1.3284634
149.74789915966386,-90.0,1.3243369
152.7731092436975,-90.0,1.3198985
155.79831932773106,-90.0,1.3152488
158.8235294117647,-90.0,1.3104833
161.84873949579833,-90.0,1.3054124
164.8739495798319,-90.0,1.3000408
167.89915966386553,-90.0,1.2943732
170.92436974789916,-90.0,1.2883173
173.94957983193274,-90.0,1.2843921
176.97478991596637,-90.0,1.2806664
180.0,-90.0,1.276746
-180.0,-86.94915254237289,1.4620695
-176.9747899159664,-86.94915254237289,1.4766496
-173.94957983193277,-86.94915254237289,1.4909861
-170.92436974789916,-86.94915254237289,1.5050789
-167.89915966386553,-86.94915254237289,1.5189226
-164.87394957983193,-86.94915254237289,1.5325116
-161.84873949579833,-86.94915254237289,1.5458378
-158.8235294117647,-86.94915254237289,1.562015
-155.7983193277311,-86.94915254237289,1.5781771
-152.7731092436975,-86.94915254237289,1.5939941
-149.74789915966386,-86.94915254237289,1.611591
-146.72268907563026,-86.94915254237289,1.6216855
-143.69747899159665,-86.94915254237289,1.6282736
-140.67226890756302,-86.94915254237289,1.6350734
-137.64705882352942,-86.94915254237289,1.6429529
-134.62184873949582,-86.94915254237289,1.6542435
-131.5966386554622,-86.94915254237289,1.6647339
-128.57142857142856,-86.94915254237289,1.6716853
-125.54621848739497,-86.94915254237289,1.6783563
-122.52100840336136,-86.94915254237289,1.6847532
-119.49579831932772,-86.94915254237289,1.6904249
-116.47058823529412,-86.94915254237289,1.6952405
-113.44537815126051,-86.94915254237289,1.6989003
-110.4201680672269,-86.94915254237289,1.701598
-107.39495798319328,-86.94915254237289,1.7044905
-104.36974789915966,-86.94915254237289,1.7077767
-101.34453781512605,-86.94915254237289,1.710924
-98.31932773109244,-86.94915254237289,1.7152485
-95.29411764705884,-86.94915254237289,1.7210176
-92.2689075630252,-86.94915254237289,1.7323586
-89.2436974789916,-86.94915254237289,1.7440715
-86.21848739495799,-86.94915254237289,1.7568252
-83.19327731092437,-86.94915254237289,1.7695651
-80.16806722689076,-86.94915254237289,1.7809577
-77.14285714285714,-86.94915254237289,1.7922825
-74.11764705882354,-86.94915254237289,1.803986
-71.09243697478992,-86.94915254237289,1.8162035
-68.0672268907563,-86.94915254237289,1.8344628
-65.0420168067227,-86.94915254237289,1.8518686
-62.01680672268908,-86.94915254237289,1.8687547
-58.991596638655466,-86.94915254237289,1.8853778
-55.96638655462185,-86.94915254237289,1.9017813
-52.94117647058823,-86.94915254237289,1.918018
-49.91596638655463,-86.94915254237289,1.9337986
-46.89075630252103,-86.94915254237289,1.949965
-43.8655462184874,-86.94915254237289,1.9677523
-40.84033613445379,-86.94915254237289,1.9857297
-37.81512605042016,-86.94915254237289,1.9935002
-34.78991596638656,-86.94915254237289,1.9963702
-31.76470588235296,-86.94915254237289,2.0012999
-28.739495798319325,-86.94915254237289,2.0125165
-25.71428571428572,-86.94915254237289,2.0335507
-22.68907563025209,-86.94915254237289,2.055569
-19.66386554621849,-86.94915254237289,2.0762029
-16.638655462184886,-86.94915254237289,2.0837553
-13.613445378151257,-86.94915254237289,2.082355
-10.588235294117652,-86.94915254237289,2.0837111
-7.563025210084049,-86.94915254237289,2.076551
-4.537815126050418,-86.94915254237289,2.0628242
-1.5126050420168156,-86.94915254237289,2.0524333
1.5126050420167871,-86.94915254237289,2.0436964
4.537815126050418,-86.94915254237289,2.0327256
7.563025210084021,-86.94915254237289,2.0217268
10.588235294117652,-86.94915254237289,2.0106559
13.613445378151257,-86.94915254237289,1.9987139
16.638655462184857,-86.94915254237289,1.9421965
19.66386554621849,-86.94915254237289,1.8875632
22.68907563025209,-86.94915254237289,1.834121
25.71428571428572,-86.94915254237289,1.8008895
28.739495798319325,-86.94915254237289,1.7753309
31.764705882352928,-86.94915254237289,1.7515261
34.78991596638656,-86.94915254237289,1.7214613
37.81512605042016,-86.94915254237289,1.6904985
40.84033613445376,-86.94915254237289,1.6616474
43.8655462184874,-86.94915254237289,1.6337026
46.890756302521,-86.94915254237289,1.6127757
49.9159663865546,-86.94915254237289,1.5914438
52.94117647058823,-86.94915254237289,1.5707539
55.96638655462184,-86.94915254237289,1.5507321
58.991596638655466,-86.94915254237289,1.5342382
62.01680672268907,-86.94915254237289,1.5191405
65.04201680672267,-86.94915254237289,1.5082779
68.0672268907563,-86.94915254237289,1.4995701
71.0924369747899,-86.94915254237289,1.4935578
74.11764705882354,-86.94915254237289,1.4864776
77.14285714285711,-86.94915254237289,1.4734958
80.16806722689074,-86.94915254237289,1.4724778
83.19327731092437,-86.94915254237289,1.474731
86.21848739495795,-86.94915254237289,1.4702388
89.24369747899158,-86.94915254237289,1.4540972
92.2689075630252,-86.94915254237289,1.4382259
95.29411764705884,-86.94915254237289,1.4269321
98.3193277310924,-86.94915254237289,1.4207294
101.34453781512605,-86.94915254237289,1.4137079
104.36974789915968,-86.94915254237289,1.4059112
107.39495798319324,-86.94915254237289,1.3979084
110.42016806722688,-86.94915254237289,1.3915879
113.44537815126051,-86.94915254237289,1.384569
116.47058823529407,-86.94915254237289,1.3739635
119.49579831932772,-86.94915254237289,1.3653164
122.52100840336136,-86.94915254237289,1.3578598
125.54621848739492,-86.94915254237289,1.3503296
128.57142857142856,-86.94915254237289,1.3435904
131.5966386554622,-86.94915254237289,1.340965
134.62184873949582,-86.94915254237289,1.3383839
137.6470588235294,-86.94915254237289,1.3354555
140.67226890756302,-86.94915254237289,1.3321899
143.69747899159665,-86.94915254237289,1.3285987
146.72268907563023,-86.94915254237289,1.3246894
149.74789915966386,-86.94915254237289,1.3204712
152.7731092436975,-86.94915254237289,1.3159503
155.79831932773106,-86.94915254237289,1.311249
158.8235294117647,-86.94915254237289,1.3064212
161.84873949579833,-86.94915254237289,1.3012964
164.8739495798319,-86.94915254237289,1.2958769
167.89915966386553,-86.94915254237289,1.2900151
170.92436974789916,-86.94915254237289,1.2838265
173.94957983193274,-86.94915254237289,1.2785912
176.97478991596637,-86.94915254237289,1.2747824
180.0,-86.94915254237289,1.2707837
-180.0,-83.89830508474576,1.443318
-176.9747899159664,-83.89830508474576,1.4581125
-173.94957983193277,-83.89830508474576,1.4726785
-170.92436974789916,-83.89830508474576,1.4870207
-167.89915966386553,-83.89830508474576,1.501138
-164.87394957983193,-83.89830508474576,1.515026
-161.84873949579833,-83.89830508474576,1.5286788
-158.8235294117647,-83.89830508474576,1.542092
-155.7983193277311,-83.89830508474576,1.555301
-152.7731092436975,-83.89830508474576,1.5727903
-149.74789915966386,-83.89830508474576,1.5893687
-146.72268907563026,-83.89830508474576,1.6056002
