lon,lat,PINN_log_dep,Kriging_log_dep
-180.0,-90.0,-1.8028059,-0.8694899133621701
-176.9747899159664,-90.0,-1.8061345,-0.8716783729312636
-173.94957983193277,-90.0,-1.8073416,-0.8736524829430216
-170.92436974789916,-90.0,-1.8091445,-0.8753750422464981
-167.89915966386553,-90.0,-1.810364,-0.8768169864572817
-164.87394957983193,-90.0,-1.811461,-0.8779598302814986
-161.84873949579833,-90.0,-1.8132911,-0.8787945631668745
-158.8235294117647,-90.0,-1.8149335,-0.8793173875552829
-155.7983193277311,-90.0,-1.8155684,-0.8795241110375542
-152.7731092436975,-90.0,-1.815805,-0.8794052148601511
-149.74789915966386,-90.0,-1.8160775,-0.8789427414863984
-146.72268907563026,-90.0,-1.81584,-0.8781089394462058
-143.69747899159665,-90.0,-1.8152316,-0.8768656546400754
-140.67226890756302,-90.0,-1.8146813,-0.875162846411629
-137.64705882352942,-90.0,-1.8142025,-0.8729340767530536
-134.62184873949582,-90.0,-1.8137231,-0.8700859963038979
-131.5966386554622,-90.0,-1.813276,-0.8664775186511264
-128.57142857142856,-90.0,-1.8129406,-0.8618837298389177
-125.54621848739497,-90.0,-1.812129,-0.8559475456933604
-122.52100840336136,-90.0,-1.8108449,-0.8481644321295319
-119.49579831932772,-90.0,-1.8096097,-0.838029794436588
-116.47058823529412,-90.0,-1.8078198,-0.8253885422111453
-113.44537815126051,-90.0,-1.8071609,-0.8105943069588388
-110.4201680672269,-90.0,-1.8060586,-0.7942286771874036
-107.39495798319328,-90.0,-1.8050504,-0.776800124188359
-104.36974789915966,-90.0,-1.8037081,-0.758669859728113
-101.34453781512605,-90.0,-1.8022449,-0.740090246513836
-98.31932773109244,-90.0,-1.7990241,-0.7212530310227018
-95.29411764705884,-90.0,-1.7974248,-0.7023222437182547
-92.2689075630252,-90.0,-1.7957137,-0.6834533855343574
-89.2436974789916,-90.0,-1.7941434,-0.6648037286972748
-86.21848739495799,-90.0,-1.795116,-0.6465371318506358
-83.19327731092437,-90.0,-1.7945356,-0.6288253548870535
-80.16806722689076,-90.0,-1.7931514,-0.6118469817788236
-77.14285714285714,-90.0,-1.7876143,-0.5957845506879498
-74.11764705882354,-90.0,-1.7809081,-0.5808201771737168
-71.09243697478992,-90.0,-1.7748649,-0.5671297488484197
-68.0672268907563,-90.0,-1.7692502,-0.5548756649375695
-65.0420168067227,-90.0,-1.7636645,-0.5441981708257574
-62.01680672268908,-90.0,-1.7559061,-0.5352057137460674
-58.991596638655466,-90.0,-1.7498682,-0.5279654489799371
-55.96638655462185,-90.0,-1.7445326,-0.5224958176970522
-52.94117647058823,-90.0,-1.7361937,-0.5187634767862409
-49.91596638655463,-90.0,-1.7280798,-0.5166863350857295
-46.89075630252103,-90.0,-1.7217422,-0.5161431523017658
-43.8655462184874,-90.0,-1.7164211,-0.5169887654707327
-40.84033613445379,-90.0,-1.7110877,-0.5190730990970003
-37.81512605042016,-90.0,-1.7067604,-0.5222616235563471
-34.78991596638656,-90.0,-1.7068934,-0.5264544638507355
-31.76470588235296,-90.0,-1.7067764,-0.5316009569115253
-28.739495798319325,-90.0,-1.7072804,-0.5377066600232471
-25.71428571428572,-90.0,-1.7065122,-0.5448308723512767
-22.68907563025209,-90.0,-1.7077508,-0.5530739084028763
-19.66386554621849,-90.0,-1.7096477,-0.5625536974504525
-16.638655462184886,-90.0,-1.7110493,-0.5733714343200184
-13.613445378151257,-90.0,-1.7128632,-0.5855687308979171
-10.588235294117652,-90.0,-1.7164557,-0.5990856711945138
-7.563025210084049,-90.0,-1.720572,-0.6137369348027358
-4.537815126050418,-90.0,-1.7222779,-0.6292266758255519
-1.5126050420168156,-90.0,-1.721868,-0.6452191966528568
1.5126050420167871,-90.0,-1.7225561,-0.6614576783753634
4.537815126050418,-90.0,-1.7227488,-0.6778682007648338
7.563025210084021,-90.0,-1.7224126,-0.6945671868866542
10.588235294117652,-90.0,-1.7221828,-0.7117735046641946
13.613445378151257,-90.0,-1.7217546,-0.7297076086824552
16.638655462184857,-90.0,-1.7203951,-0.7485356592206864
19.66386554621849,-90.0,-1.7189505,-0.7683571098433254
22.68907563025209,-90.0,-1.7212033,-0.7892130903740058
25.71428571428572,-90.0,-1.7265723,-0.8110995102821826
28.739495798319325,-90.0,-1.7322128,-0.833978354539666
31.764705882352928,-90.0,-1.7391367,-0.8577857557489973
34.78991596638656,-90.0,-1.7475989,-0.8824372486256511
37.81512605042016,-90.0,-1.7556808,-0.9078310130800651
40.84033613445376,-90.0,-1.7639155,-0.9338498672310351
43.8655462184874,-90.0,-1.7731395,-0.9603626471158214
46.890756302521,-90.0,-1.7812195,-0.9872255076771306
49.9159663865546,-90.0,-1.7912145,-1.014283608059888
52.94117647058823,-90.0,-1.8016343,-1.041373580508428
55.96638655462184,-90.0,-1.8154721,-1.0683270926988861
58.991596638655466,-90.0,-1.8305442,-1.0949756632056344
62.01680672268907,-90.0,-1.8447587,-1.1211566533865627
65.04201680672267,-90.0,-1.8573394,-1.1467200355812939
68.0672268907563,-90.0,-1.8681326,-1.1715351669146707
71.0924369747899,-90.0,-1.8796005,-1.1954964638313876
74.11764705882354,-90.0,-1.8837242,-1.2185266791599318
77.14285714285711,-90.0,-1.8870766,-1.2405765022861983
80.16806722689074,-90.0,-1.8877943,-1.2616194063058381
83.19327731092437,-90.0,-1.8878341,-1.2816408892515672
86.21848739495795,-90.0,-1.8879993,-1.3006212236875412
89.24369747899158,-90.0,-1.8883901,-1.318510258659785
92.2689075630252,-90.0,-1.8891423,-1.335191672249875
