lat,lon,dep,log_dep,log_dep_norm,lon_band,PINN_log_dep
-80.57591623036649,20.0,0.0023411149159073,-2.630577268012233,-1.771157421250451,10,-2.5015454
-80.57591623036649,21.25,0.0023727181833237,-2.624753841511092,-1.7658985701787255,10,-2.50928
-80.57591623036649,22.5,0.0023710718378424,-2.625055287731662,-1.7661707914868858,10,-2.5168176
-80.57591623036649,23.75,0.002351801842451,-2.6285992737334385,-1.7693711915571824,10,-2.5244594
-80.57591623036649,25.0,0.0023265525233,-2.6332871385651,-1.7736045725381655,10,-2.5322022
-80.57591623036649,26.25,0.0022665043361485,-2.644643445736745,-1.7838598969813846,10,-2.540053
-80.57591623036649,27.5,0.0021990935783833,-2.657756289642939,-1.79570146366312,10,-2.5480103
-80.57591623036649,28.75,0.0021106917411088,-2.6755751891987,-1.811792838561972,10,-2.5563498
-80.57591623036649,30.0,0.0020212728995829,-2.6943750468103707,-1.8287700686051496,10,-2.5660696
-80.57591623036649,31.25,0.0019669143948704,-2.706214541272546,-1.8394617358098253,10,-2.5753725
-80.57591623036649,32.5,0.001918549882248,-2.7170269046734097,-1.849225851291899,10,-2.5847583
-80.57591623036649,33.75,0.0018697391496971,-2.728218978356078,-1.8593328645201748,10,-2.5942316
-80.57591623036649,35.0,0.0018013443332165,-2.7444032623485763,-1.87394809821504,10,-2.6037912
-80.57591623036649,36.25,0.0017603600863367,-2.754398487007652,-1.8829742957467177,10,-2.6135342
-80.57591623036649,37.5,0.001724197063595,-2.763413098870397,-1.891114949921076,10,-2.622797
-80.57591623036649,38.75,0.001665796386078,-2.778378084446002,-1.9046290949724811,10,-2.6318054
-80.57591623036649,100.0,0.0012285487027838,-2.910607622308816,-2.0240391101529385,14,-2.7902405
-80.57591623036649,101.25,0.0011909492313861,-2.924106751530469,-2.0362295121715324,14,-2.7896035
-80.57591623036649,102.5,0.0011726847151294,-2.9308187354417665,-2.042290775892884,14,-2.789075
-80.57591623036649,103.75,0.001172776101157,-2.930784892670001,-2.04226021414431,14,-2.788655
-80.57591623036649,105.0,0.0011755129089578,-2.929772597284768,-2.041346059793689,14,-2.7883441
-80.57591623036649,106.25,0.0011673982953652,-2.9327809451821,-2.044062751343056,14,-2.788327
-80.57591623036649,107.5,0.0011738184839487,-2.930399055996646,-2.0419117839541485,14,-2.7886064
-80.57591623036649,108.75,0.001184698427096,-2.9263921881488217,-2.038293377974153,14,-2.7864716
-80.57591623036649,110.0,0.001194549491629,-2.922795852196137,-2.03504570322882,14,-2.7844315
-80.57591623036649,111.25,0.0012321734102442,-2.9093281673237965,-2.022883697061028,14,-2.7824864
-80.57591623036649,112.5,0.0012551957042887,-2.901288555723598,-2.015623517839797,14,-2.7807848
-80.57591623036649,113.75,0.0012988352682441,-2.8864459271634804,-2.0022198674124594,14,-2.779108
-80.57591623036649,115.0,0.0013534240424633,-2.868566112900281,-1.9860734834267009,14,-2.7767472
-80.57591623036649,116.25,0.0013875871663913,-2.857739725543159,-1.9762967035970327,14,-2.7744951
-80.57591623036649,117.5,0.0014094883808866,-2.8509384998829264,-1.970154850025884,14,-2.7723534
-80.57591623036649,118.75,0.0014275409048423,-2.8454114386038074,-1.9651636318615455,14,-2.7703185
-80.57591623036649,-140.0,0.0013884991640225,-2.857454377390513,-1.9760390196650623,2,-2.6444397
-80.57591623036649,-138.75,0.001389347249642,-2.857189194323252,-1.975799545833428,2,-2.6514497
-80.57591623036649,-137.5,0.0013642346020787,-2.8651109393369736,-1.982953285516959,2,-2.6584
-80.57591623036649,-136.25,0.0013432463165372,-2.8718443416840667,-1.9890338911779772,2,-2.6648135
-80.57591623036649,-135.0,0.0013707850594073,-2.863030637720653,-1.981074667081171,2,-2.6659327
