lon,lat,PINN_log_dep,Kriging_log_dep
-180.0,-90.0,-2.5814486,-0.5280007764108032
-176.9747899159664,-90.0,-2.5823894,-0.5280007764110236
-173.94957983193277,-90.0,-2.5835326,-0.5280007764109869
-170.92436974789916,-90.0,-2.584883,-0.5280007764106079
-167.89915966386553,-90.0,-2.5864482,-0.5280007764098589
-164.87394957983193,-90.0,-2.5882316,-0.528000776408741
-161.84873949579833,-90.0,-2.590238,-0.5280007764072046
-158.8235294117647,-90.0,-2.5924764,-0.5280007764052291
-155.7983193277311,-90.0,-2.5948906,-0.5280007764028569
-152.7731092436975,-90.0,-2.596491,-0.5280007764000842
-149.74789915966386,-90.0,-2.5983403,-0.5280007763968754
-146.72268907563026,-90.0,-2.6004448,-0.5280007763932185
-143.69747899159665,-90.0,-2.603104,-0.5280007763891362
-140.67226890756302,-90.0,-2.607216,-0.5280007763846298
-137.64705882352942,-90.0,-2.6115842,-0.528000776379653
-134.62184873949582,-90.0,-2.6143436,-0.5280007763743197
-131.5966386554622,-90.0,-2.6088755,-0.5280007763686532
-128.57142857142856,-90.0,-2.6053991,-0.528000776362534
-125.54621848739497,-90.0,-2.6021807,-0.5280007763562121
-122.52100840336136,-90.0,-2.5987344,-0.5280007763495537
-119.49579831932772,-90.0,-2.5951529,-0.5280007763426054
-116.47058823529412,-90.0,-2.5921564,-0.5280007763354494
-113.44537815126051,-90.0,-2.591316,-0.5280007763280596
-110.4201680672269,-90.0,-2.5898757,-0.5280007763204493
-107.39495798319328,-90.0,-2.5884955,-0.5280007763126103
-104.36974789915966,-90.0,-2.5872455,-0.5280007763046423
-101.34453781512605,-90.0,-2.584462,-0.5280007762965064
-98.31932773109244,-90.0,-2.58183,-0.5280007762881853
-95.29411764705884,-90.0,-2.5779147,-0.5280007762797547
-92.2689075630252,-90.0,-2.5734153,-0.5280007762711811
-89.2436974789916,-90.0,-2.564341,-0.5280007762624925
-86.21848739495799,-90.0,-2.555427,-0.5280007762536131
-83.19327731092437,-90.0,-2.5469017,-0.5280007762446948
-80.16806722689076,-90.0,-2.5407429,-0.5280007762355843
-77.14285714285714,-90.0,-2.5339994,-0.528000776226357
-74.11764705882354,-90.0,-2.526343,-0.5280007762170412
-71.09243697478992,-90.0,-2.5133162,-0.5280007762075708
-68.0672268907563,-90.0,-2.4996552,-0.5280007761980656
-65.0420168067227,-90.0,-2.4879527,-0.5280007761884579
-62.01680672268908,-90.0,-2.4766545,-0.5280007761788692
-58.991596638655466,-90.0,-2.463958,-0.5280007761693271
-55.96638655462185,-90.0,-2.4495654,-0.5280007761598625
-52.94117647058823,-90.0,-2.4346702,-0.5280007761504816
-49.91596638655463,-90.0,-2.4252584,-0.5280007761412978
-46.89075630252103,-90.0,-2.4222808,-0.5280007761322943
-43.8655462184874,-90.0,-2.4189196,-0.5280007761233922
-40.84033613445379,-90.0,-2.4155185,-0.5280007761147306
-37.81512605042016,-90.0,-2.413021,-0.528000776106216
-34.78991596638656,-90.0,-2.4107742,-0.528000776097899
-31.76470588235296,-90.0,-2.413935,-0.5280007760897237
-28.739495798319325,-90.0,-2.4182954,-0.5280007760817266
-25.71428571428572,-90.0,-2.4229996,-0.5280007760739036
-22.68907563025209,-90.0,-2.4258938,-0.5280007760662294
-19.66386554621849,-90.0,-2.4273562,-0.5280007760587538
-16.638655462184886,-90.0,-2.429047,-0.5280007760514507
-13.613445378151257,-90.0,-2.4313736,-0.5280007760441959
-10.588235294117652,-90.0,-2.4417253,-0.5280007760371997
-7.563025210084049,-90.0,-2.4559622,-0.5280007760302844
-4.537815126050418,-90.0,-2.4688997,-0.5280007760235615
-1.5126050420168156,-90.0,-2.4811664,-0.5280007760170856
1.5126050420167871,-90.0,-2.4936256,-0.5280007760108602
4.537815126050418,-90.0,-2.5034318,-0.5280007760049036
7.563025210084021,-90.0,-2.5116143,-0.5280007759992349
10.588235294117652,-90.0,-2.5187628,-0.5280007759938343
13.613445378151257,-90.0,-2.5251734,-0.5280007759887303
16.638655462184857,-90.0,-2.534206,-0.5280007759838865
19.66386554621849,-90.0,-2.546585,-0.5280007759792996
22.68907563025209,-90.0,-2.555017,-0.528000775974955
25.71428571428572,-90.0,-2.5633097,-0.5280007759708756
28.739495798319325,-90.0,-2.5689507,-0.5280007759669346
31.764705882352928,-90.0,-2.5740538,-0.5280007759632666
34.78991596638656,-90.0,-2.5795484,-0.5280007759597979
37.81512605042016,-90.0,-2.5854259,-0.5280007759565033
40.84033613445376,-90.0,-2.5916874,-0.5280007759533933
43.8655462184874,-90.0,-2.598328,-0.5280007759504179
46.890756302521,-90.0,-2.6053455,-0.5280007759475456
49.9159663865546,-90.0,-2.611275,-0.5280007759447981
52.94117647058823,-90.0,-2.616378,-0.5280007759420514
55.96638655462184,-90.0,-2.6217828,-0.5280007759392568
58.991596638655466,-90.0,-2.627488,-0.5280007759364009
62.01680672268907,-90.0,-2.6334884,-0.5280007759334263
65.04201680672267,-90.0,-2.6396554,-0.5280007759303473
68.0672268907563,-90.0,-2.6456375,-0.5280007759271875
71.0924369747899,-90.0,-2.6513371,-0.5280007759239567
74.11764705882354,-90.0,-2.6572783,-0.5280007759206001
77.14285714285711,-90.0,-2.6629019,-0.528000775917326
80.16806722689074,-90.0,-2.6666288,-0.5280007759139952
83.19327731092437,-90.0,-2.6702418,-0.5280007759105658
86.21848739495795,-90.0,-2.673889,-0.5280007759072045
89.24369747899158,-90.0,-2.6772313,-0.5280007759037959
92.2689075630252,-90.0,-2.6801062,-0.5280007759003962
