lon,lat,dep,log_dep,log_dep_norm,PINN_log_dep,Kriging_log_dep
1.37,78.87,3.999994704,0.6020594163216877,0.1851955746452021,-0.40218535,0.6020594163216823
-61.0,77.0,0.03999994704,-1.3979405836783123,-1.6691374558199883,-0.54153025,-1.3979405836783119
-42.32,75.1,0.007999989408,-2.0969105880143317,-2.317199038992328,-0.5247569,-2.0969105880143237
-6.72,74.58,3.1000014144000003,0.4913618919845872,0.0825605367606972,-0.33716664,0.4913618919845965
-37.63,72.58,0.008999995968,-2.0457576851246464,-2.269771780276067,-0.45870999,-2.045757685124634
-27.0,71.0,0.0600000782399999,-1.2218481832967212,-1.5058704785992458,-0.37333956,-1.2218481832967238
-44.0,65.0,0.020000005056,-1.6989698945463876,-1.948241752960412,-0.31087074,-1.698969894546386
-162.1,63.45,36.99992736,1.568200871440451,1.0809695808094149,-0.06802449,1.5682008714404472
-20.0,60.0,0.20000005056,-0.6989698945463877,-1.0210752377278165,-0.11269447,-0.6989698945463672
-21.15,54.58,1.0200003839999998,0.0086003352609857,-0.3650398134749872,-0.02003035,-0.07177549435952962
-21.15,54.58,1.8299993904,0.2624509450605057,-0.1296780281974969,-0.02003035,-0.07177549435952962
-144.98,50.0,0.30000007584,-0.5228786354907063,-0.8578093187062401,0.09094241,-0.5228786354906968
21.36,48.8,21.129340752,1.3248859470175265,0.8553761302281296,0.46507636,1.3248859470175216
21.37,48.15,56.2570704,1.7501771124320704,1.2496918580247416,0.48158595,1.7501771124320684
-19.5,47.83,2.7999994464,0.4471579454759875,0.0415761177167907,0.112737894,0.4471579454759902
21.56,47.79,35.90436672,1.5551472710594294,1.0688667196329042,0.4917581,1.5551472710594463
-20.87,47.72,3.1000014144000003,0.4913618919845872,0.0825605367606972,0.10679114,0.49136189198459096
21.57,47.53,47.29422383999999,1.6748081025222443,1.1798122357501175,0.49836618,1.6748081025222492
19.81,47.51,21.94911907200001,1.3414170945167865,0.8707032566478143,0.48777482,1.3414170945168014
162.12,46.82,0.8599993344,-0.0655018848802916,-0.433744910694374,0.52475053,-0.06550188488028862
161.7,46.6,4.900000608,0.6901961339164787,0.2669129879616039,0.5310273,0.6901961339164782
175.03,46.12,4.089998448,0.6117231432090132,0.1941554586274833,0.44486862,0.6117231432090249
7.88,45.93,0.3999994703999999,-0.3979405836783123,-0.7419709405873933,0.40843254,-0.3979405836783115
6.87,45.83,0.20000005056,-0.6989698945463877,-1.0210752377278165,0.40055594,-0.6989698945463965
19.48,45.67,35.880084,1.5548534511137986,1.068594299617808,0.53086793,1.5548534511138028
177.52,45.37,2.29999932,0.3617277076174662,-0.0376319382139861,0.4368738,0.3617277076174591
-143.37,44.54,0.6000007823999999,-0.2218481832967213,-0.5787039633666506,0.1661519,-0.22184818329671935
85.63,44.33,28.750015152,1.4586380779101102,0.9793866273327404,0.8261026,1.4586380779101167
-163.21,44.29,2.199998664,0.3424224170869316,-0.0555311571607346,0.23454729,0.342422417086921
-163.33,44.22,1.8999998496,0.2787535665749907,-0.1145627834187559,0.23542614,0.2787535665750063
176.5,44.05,2.199998664,0.3424224170869316,-0.0555311571607346,0.45721632,0.3424224170869395
-148.06,43.37,2.7999994464,0.4471579454759875,0.0415761177167907,0.19458868,0.4471579454759879
166.9,43.28,7.999989407999999,0.9030894119856688,0.4643005067054587,0.5324044,0.9030894119856886
-178.52,43.24,1.2999990672,0.1139430406837306,-0.267369584383007,0.29604983,0.11394304068373655
150.23,43.0,1.7999991936000002,0.2552723105393346,-0.1363338177506195,0.6523556,0.2552723105393493
-157.5,43.0,1.0000002528,1.0978963116709104e-07,-0.3730136545554776,0.22699846,1.0978962607664644e-07
155.9,42.2,5.600005200000001,0.7481884302794607,0.3206815032908058,0.62060666,0.7481884302794671
119.02,42.17,31.279990751999996,1.4952666159876835,1.0133473813401883,0.84381646,1.4952666159876937
9.08,42.15,12.25000152,1.0881361425885163,0.6358696390736859,0.5090548,1.08813614258851
160.36,42.05,2.199998664,0.3424224170869316,-0.0555311571607346,0.59059453,0.34242241708693016
2.4,41.79,5.100001920000001,0.7075703395970048,0.2830217696973516,0.43938237,0.707570339597007
146.5,41.5,21.699984672,1.336459427080411,0.8661066734071483,0.69320464,1.3364594270804149
-149.55,41.48,0.5000001264,-0.30102988587435,-0.6521185866157344,0.21586892,-0.3010298858743341
-171.57,41.42,1.1000009088,0.0413930439642815,-0.3346355120215148,0.28322175,0.04139304396430368
-132.22,41.04,0.3999994703999999,-0.3979405836783123,-0.7419709405873933,0.18310457,-0.39794058367831714
138.7,40.83,4.900000608,0.6901961339164787,0.2669129879616039,0.75432503,0.6901961339164897
166.98,40.68,3.000000758400001,0.4771213645092936,0.0693571965263553,0.55200976,0.4771213645093175
146.47,40.52,16.100011007999996,1.2068261729704846,0.7459150609357862,0.7022791,1.2068261729704965
-151.39,40.11,0.30000007584,-0.5228786354907063,-0.8578093187062401,0.22831048,-0.5228786354907142
-162.3,40.08,2.6999987904,0.4313635695950158,0.0269321012709565,0.25797507,0.43136356959503386
145.43,40.0,7.3200101759999985,0.8645116847984978,0.4285325298237357,0.7138587,0.8645116847984972
115.68,39.98,5.500004543999999,0.7403630483003003,0.3134260711508237,0.9051522,0.7403630483003081
103.3,39.88,116.38013904,2.065878871711737,1.54239995802887,0.94225216,2.522512149611027
103.3,39.88,89.01004463999999,1.9494390188423776,1.4344408254097898,0.94225216,2.522512149611027
157.6,39.7,6.600011759999999,0.8195447093749834,0.3868406559197661,0.6256641,0.81954470937498
